place_code,race_type,course_len_m,course_note,prose_guide
05,芝,1400,,"向正面に入る地点、下り坂の途中からのスタートとなる。100mほど走ったところから今度は急激な上り坂になるので、ゲートから勢いよくダッシュしていくと最後に脚をなくすことになる。スタート後300mあたりからは長い下り坂に入り、そこで平坦に移るので、スピードの乗りはやや遅め。つまり序盤は緩めに入って、下りを利して徐々に加速するイメージだ。またペースが落ち着くあたりからカーブが始まるので、多頭数時の外枠に入った差し馬勢は、スローだとずっと外を回らされる恐れがあり、特に幅員が最も狭いDコース施行時は厳しい競馬になりがちだ。最大高低差は約2.5m。東京の芝では最も短距離ながら、二度の上り坂があるうえにゴール前の直線は長いという、なかなか難しいコースだけに、馬券が荒れやすいことでも知られている。"
05,芝,1600,,"GIが3鞍、春開催に集中して行なわれる重要なコース。2コーナーを曲がり切ったあたりがスタート地点になっていて、そこから緩めの下り坂が300m続く。向正面の直線の平坦部分を長く使うので、逃げたい馬は十分に加速でき、その勢いで3コーナー手前の短い上り坂を駆け上がることが可能。また同型が少なければ、ペースを抑えながら坂へ備えることもできる。だから基本的には前有利になりがちだ。それでなくても、終いの直線が長く、3、4角のカーブが緩い東京では、そうなるケースが多い。マイルの場合はとりわけ冬開催のDコース使用時に目立つ。ただし、力のある差し・追い込み馬が多くなるGIでは、逃げ・先行馬同士で上位独占となることはあまりない。またその年の気候にもよるが、マイルの時計が最も速いのは、5月の開催となることが多い。"
05,芝,1800,,"スタート地点が、この距離設定でしか通らない引き込み線にある。そこから約150mを斜めに走り、かなり緩い角度で1600mのスタート地点である向正面の起点に入っていく。つまりスタート後はまったく荒れていない区間をダッシュすることになり、逃げ・先行馬は加速をつけやすい。よほど同型馬が揃わない限りは隊列がスンナリ決まり、そこから3角の上りへ向けて下りが続くので、なおさらレース前半の動きは小さくなるわけだ。これが「府中の千八、展開要らず」の格言の理由になっていると考える。紛れもマグレも出にくいコースということだ。それなのにGIは組まれていないのだが、東京スポーツ杯2歳S、共同通信杯、毎日王冠と、GIIの中でも特に重要な前哨戦として位置付けられるレースが施行されており、これらのレースの上位馬がその後、競馬界の中核を担っていくことが多いのも頷けるところだ。"
05,芝,2000,,"東京競馬場で最も西寄りにあるポケット地点からスタートを切る。100m程度の短い直線を走った後、左にカーブを切ることになるので、形状としては中山マイルのようなトリッキーな部類のコースとなる。当然ながら外枠に大きな不利があって、古い話だがフルゲートの大外馬番に入ったメジロマックィーンの天皇賞秋での大斜行から1位入線から18着降着事件の原因となった。2006年のコース改修の際に、2コーナーに向かう進入角度を緩める改修が行なわれたが、依然として外枠は不利という騎手の声が絶えない。外枠に逃げ先行馬が入ると、不利を嫌って内へ寄せながらダッシュしていくので内枠の馬が絞られやすく、流れが速まったまま下り坂に入るため、序盤で脚を使ってしまう。ただ坂を上ってからスローに落とせると、中団以降との距離が開いている分、直線も粘りやすくなる。逃げ馬の枠が、展開と結果を大きく左右するコースである。"
05,芝,2400,,"ダービー、オークス、ジャパンCといった、GIの頂点ともいえるレースが施行され、東京マイルと並ぶ最重要コースだ。スタートはスタンド前の上り坂途中にあり、高低差約2mの坂を2回上り下りする。しかも最後の直線が長いため、どうしても前半は脚を温存しがちになり、前有利・内有利となりやすい。特にCコース替わりで行なわれるダービーには、その傾向が強いことが広く知られている。現在の形状に改修されてからは、意外と展開に左右されることが増えてきた。果たして、これで真のチャンピオン決定コースとしてふさわしいといえるのか、疑問もある。また、3角から直線に入るまでのカーブが長いので、この地点を外で回ってしまうと距離ロスがとても大きい。差し馬なら位置取りが悪くなっても道中は内で回って、直線で外へ出せるような枠を優先したい。なお組まれているレース数が少ないので、通年でデータを出している。"
05,ダート,1300,,"重賞どころか高額条件がほとんど組まれていないうえに、東京にしかない距離の特殊コース。ダートのスプリンターが使えるように無理やりつくったようにも思えるが、確かに1400mと両方で好走している馬は少ない印象がある。かといって中山ダ1200mとは、スタート地点がダートである時点で違う。さらに、スタートから下りに入ってゴール前まで坂のない中山に対し、スタートして短い下り坂の後、上り坂が序盤にあるこのコースは、レースの構成もまったく異なる。だから中山1200mとリンクするというわけでもない（あくまで個体としての話。種牡馬はリンクする）。つまり、このコース固有の巧者を生みやすいということだ。また、砂を被ることを嫌がらない馬なら、中山ダ1200mよりもイン差しを決めやすい。内枠の差し馬は出遅れなければ意外と利がある。外枠の差し馬は、距離ロスを避けられるかがカギ。意外と前有利とはいい切れないコースでもある。"
05,ダート,1400,,"JRAでは、ダート1400mは4場で施行されているが、その中で東京はスタート地点が芝ではない唯一のコースだ。また直線部分が4場の中で最も長く、ペースは顔ぶれ次第で変わり、好走脚質の偏りは少ない。そしてスタート後の下り坂部分イコール3角前の上り坂までの助走距離がやや長いので、場合によっては100m短い1300mより、同じ馬場状態かつ同じクラスの比較ならテンの3Fがむしろ速くなることもある。重賞は根岸Sだけだが、OP特別は多数組まれている。また2、3歳の特別戦も多く、中央のダートの中では重要な位置付けのコースとなっている。個人的な話になるが、以前、某地方所属騎手が「中央のダートで最も好きなコース」として挙げていたことが印象的だ。"
05,ダート,1600,,"JRA全場で東京にしかないダートのマイル。フェブラリーS（GI）が組まれている舞台だ。2角の引き込み線にあるスタート地点から、フルゲートで8枠の馬の場合は約180m芝を走ってからダートに入る（外に行くほど芝の部分を長く走る）。そのため、ダートの本質のパワーよりもスピードの領分が大きくなる、異色のコースといえる。また馬番1番に入った場合、逃げか番手あたりに出して行ける馬でないと、かなり不利になることで知られる。これは芝を横切りダートに入るときに、ラチのない部分を通る際、外から寄られると前方に迫るダートコースの内ラチに接触する恐れがあるからで、寄られたら大きく下げざるを得ないのだ。また、スタート後は直線の長い下り坂が続くので、前半のペースは上がる。差しや追い込みもよく決まるコースだ。"
05,ダート,2100,,"これもJRAでは東京にしかない距離設定。かつてはGIのジャパンCダートが施行されていて、広いコースをフルに使うこともあり、大レースにふさわしい舞台ではあった。現在はブラジルCなどいくつかのOP特別は組まれているが、重賞施行コースではないのが個人的には残念だ。スタート後は平坦で、230mほど直線を走ると1角のカーブを回りながら下り、向正面後半で坂を上り、その後はダートコースとしては日本一長い直線へ向かう。もちろん、その途中でもう一度坂を上ることになる。そしてスタート地点を過ぎゴール。オールダートでの中距離戦で、スタミナとパワーが重要。逃げ切りは難しいが、後方一気も決まりにくいコースである。また外枠の馬も内に入れるチャンスが何カ所かあるので、枠の内外の差はあまりない。"
06,芝,1200,,"外回りコースの3角直後の高い地点から一気に坂を下り、平坦部分をブーメラン状に急カーブを切ってまた下り坂、ゴール前に今度は急坂を駆け上がるという、かなり特殊な形状だ。かなり長い区間が下り坂なのがミソで、ステップや骨格から下りを苦手とする馬には厳しく、他場の1200mでは強くても、ここではまったく走れないというケースも頻出する。また高低差は約4mとかなり大きい。できればコース実績がほしいところだ。時計は秋の野芝開催が最も速いのが普通なのだが、春の序盤に組まれているGIIIのオーシャンSでも、意外と野芝のGI・スプリンターズS並みの時計が出る年がある。また枠の内外は意外と偏らないが、外枠の差し馬は急カーブで振られるため、上位には来ても差し切りは難しい。"
06,芝,1600,,"2コーナー手前にある、外回りと内回りの分岐点からスタート。外回りコースへ短い直線を斜めに入っていくと、すぐに下り坂の急カーブを走るという、かなりトリッキーな形状だ。そこからは1200mと同じ経路を辿る。スタート後がカーブなので、8枠の不利は昔から定説となっている。一時は解消されたような時期もあったが、近年は14頭以上なら外の不利がまた強まってきた。最大高低差は約5mあり、これは全場で最も大きい。外枠の逃げ・先行馬は早めに位置を取りたいし、1枠の逃げ・先行馬は被せられたくないし……で、この脚質の枠の配置がペースを決める。中枠に入ったときが落ち着いた競馬となりがちだ。また高低差がないだけで形状が似ている札幌芝1500mと好走馬がリンクする面白い傾向も出ている。"
06,芝,1800,,"起伏図を見ておわかりのように、前半の負担がかなり大きいコースである。スタート地点が上り坂の途中のため、ダッシュは利きづらい。またスタート後1Fで内回りに入るカーブが来るので、なおさら序盤のペースが上がらず、スローペースになりがちだ。しかも2角からずっと下りに転じているので、後方勢がここで前との差を詰めようとしても、前も加速していくために難しい。ある程度、後続も位置を取りにいかなければならない難コースで、中山芝の中でも最も苦手不得手、コース巧者が出やすいコースである。中山にしては珍しく瞬発力競馬になりやすく、また上りが続く序盤に無理をしてしまうケースが多いので、スローになりがちでも、逃げ切りは意外と難しい。"
06,芝,2000,,"1800mに比べると、4角奥にスタート地点があって助走区間が200m近くあり、しかもそこが下り坂なので、加速をつけて直後の上り坂に入れる。序盤のペースは1800mより速くなるケースもある。1角からは、1800mと同じく内回りコースに入っていく。向正面は下り坂で息が入りにくく、マクるのは騎手のペース判断とタイミングがすべて。下り切る寸前の地点で早めに動き出すのが最も効果的に思える（例・ゴールドシップの皐月賞）。最初のコーナーに入るまでがおよそ400mあるので、外枠は意外と不利にならない。なお春開催後半は南風が強く、斜め後ろからの追い風に乗って早めに仕掛ける差し馬に利が出る傾向がある。"
06,芝,2200,,"スタート地点は2000mと同じ。内回り外回りの分岐点からさらに坂を上って外回りコースへ入っていき、そこからは1600mと同じ経路を辿る。最大高低差はおよそ5mもあるタフなコースだ。頂上地点までに脚を使うので、前に行った組は下り坂にも関わらず2角以降で脚を溜める必要があるため、外回りのコーナーの緩さも相まって、前半中団以降に待機していた馬のマクリが最も決まるコースである。そのためか、外枠の成績が高めだ。冬開催でアメリカJCC、秋開催でセントライト記念とオールカマーといった、重要なGII戦の舞台となっている。ただ特殊な形状なので、他場のGIより、近似形状の有馬記念での好走馬を出しやすい傾向がある。"
06,芝,2500,,"3角の奥、外回りと内回りの合流点寸前の下り坂にスタート地点がある。有馬記念でおなじみの光景だ。坂を下りながら正面スタンド前に入り、中盤に差しかかるゴール板前からは上り坂の連続。そして内回りコースに入り、しばらく平坦区間や下り坂をこなし、下りながら急カーブを切って直線へ入り、ゴール前の急坂を目指す。アップダウンの激しい難コースだ。コース形状から、少しは序盤が流れそうな気がするが、全体の距離と中盤の上りを意識することからスローペースが定番で、終盤5Fが速くなる傾向が強い。また有馬記念で毎年1枠有利が喧伝されるので、そのイメージが強まっているが、通年のコースデータを取ると決してそんなことはない。むしろ6枠から外のほうが安定しているくらいだ。ただ頭数にもよる。フルゲートでは、やはり距離ロスも大きくなってくる。"
06,ダート,1200,,"向正面の2角奥にある引き込み線、芝の上からのスタートとなる。3コーナーまで500mも直線を走り、しかもスタート後からまもなく下り坂。いったん緩くなっても、また直線半ばまで下り坂という超加速型コース。そのため、ほぼ例外なくハイペースとなる。外枠の馬は長く芝を走るので、外枠の逃げ先行馬は有利な展開となる。ただ、ペースが上がりすぎて、ゴール手前の上りの急坂で一気に形成が逆転するシーンもある。同型脚質や枠の並びが展開を分ける。また風の影響を最も受けるコースで、直線追い風、つまりスタート地点が向かい風のときは、長い区間向かい風に逆らって飛ばしていくため、逃げ・先行馬が直線で失速しやすい。"
06,ダート,1800,,"重賞はマーチSしか組まれていないが、OP特別は多数組まれていて、ダート中距離戦線にとっては重要なステップコースとなっている。4角を回った直後のスタート地点から、緩い下り坂を200m近く走ってから急坂を上る。2角まで緩やかに上ってから一気に下り、その後平坦区間や、さらなる下り坂を経て直線へ、そしてゴール前に急坂を上る。スタンド前の直線は、主場のダート1800mでは最短の308m。最大高低差はおよそ4.5mで、これはJRAのダートコースで最も大きい。逃げ・先行馬が有利のイメージがあるが、統計を取ると偏りはそれほどない。とはいえ、4角で前のほうにいないと厳しいコースである。直線に賭ける脚質の馬は、ペースがハマらないと3着止まりになることがほとんどだ。枠は脚質次第ではあるが、中枠から外のほうがやや優位になっている。"
06,ダート,2400,,"起伏図の紙幅の都合により、前半の縮尺が小さくなっていて、中盤以降とのバランスが取れていない点はご了承願いたい。スタート地点は向正面、緩い下り坂の途中で、そこからコース半周近くは平坦や下り坂が続く。スタンド前に入ってからは、1800mと同じ経路を通ることになる。加速のつきやすい前半のコース形状にも関わらず、距離を意識して逃げ・先行馬はゆっくりゆっくり入っていこうとするので、大半がスローペースとなる。2周目に入るあたりから加速が始まり、3角ではマクリ合いになることが多い。とにかくスタミナ、脚の持続力が求められるコースだ。OPのレースは組まれておらず、大半が古馬1勝クラスと2勝クラス。かなり顕著なリピーターコースでもある。"
08,芝,1200,,"内回りコース使用。2角を回って向正面に入ってすぐの地点からスタートとなる。1F走らないうちにすぐに上り坂となり、頂上の平坦部分を走ると、3角を回りながらの下り坂に入る。4角までに下り切ると、あとはゴールまで平坦。最大高低差は3mだ。なお、通年オーバーシード開催である。勝率はバラけるが、複勝率では内有利の傾向が強い。そして8枠の成績が最も下がる。基本的に内枠の先行馬を優先的に考えるべきコースである。ただ、スタート後の急坂をダッシュして上るとゴール前で堪えるケースも。逃げ馬が数頭揃った場合は、一転して差し馬が浮上するコースでもある。特に上級クラスでそうしたケースが発生することが多い。また、逃げ馬が外枠に入った場合も割り引きが必要だ。"
08,芝,1400,内,"基本的に2歳、3歳限定レースしか組まれないコースだ。特別戦はあるが重賞は組まれていない。ここは開催時期を分けると、あまりにサンプルが少なくなるので、通年のデータとなる。スタート地点は2角のポケット入口にあり、そこから350mほど直線を走ってから坂を上る。あとは1200mと同じ経路を辿る。高低差は3mで、3コーナーのカーブまでは520mと長い。1200m同様、8枠はかなり不利となる。未勝利戦や新馬戦が大半なので、なおさらレース慣れしていない馬ばかりということもあり、1〜3枠あたりに入った逃げ・先行馬がスムーズに回ってそのまま押し切るケースが目立つ。"
08,芝,1400,外,"内回りと違い、こちらは2歳戦では重賞だけ、3歳馬は特別戦のみ、そして古馬のすべての芝1400m戦で使用される。スタート地点は内回りより3角寄りになるが、最後の直線が内回りの328mに対し404mに延びる。最初の坂までは短く、アップダウンも内回りより大きい。最大高低差はおよそ4mある。スタート後まもなく上り坂があるのでペースが上がりにくく、直線の長さを意識して後ろの動き出しも遅めなので、逃げ馬の粘り込みが目立つコースだ。なお内外の有利不利はそれほどない。1200m実績のある馬よりも、マイルもこなす馬のほうが対応しやすく、また1400mというか、このコースでのスペシャリストが出やすい。"
